Name,Explanation,Byline,NIfTI,Creator,Contact,WWW,Availability,HowToGet,Version,Date,OpenSource,License,Free,Requirements,TechPubs,ApplPubs,OtherInfo,Keywords,Platforms,LastIATRupdate,Description
ImageJ,,"Research Services Branch, NIMH",,Wayne Rasband,wsr@nih.gov,http://rsb.info.nih.gov/ij/,,Download at http://rsb.info.nih.gov/ij/download.html,1.34,"July 12, 2005",Yes,Public domain,Yes,Java 1.1 or later,,"Abramoff, M.D., Magelhaes, P.J., Ram, S.J. 'Image Processing with ImageJ'. Biophotonics International, volume 11, issue 7, pp. 36-42, 2004.",,"segmentation, statistical, visualization","HPUX, IRIX, Java, Linux, MacOS, SunOS, UNIX, Windows",05 Dec 2005,"(From the ImageJ web site; see http://rsb.info.nih.gov/ij/docs/intro.html),|ImageJ is a public domain Java image processing program inspired by NIH Image for the Macintosh. It runs, either as an online applet or as a downloadable application, on any computer with a Java 1.1 or later virtual machine. Downloadable distributions are available for Windows, Mac OS, Mac OS X and Linux.|It can display, edit, analyze, process, save and print 8-bit, 16-bit and 32-bit images. It can read many image formats including TIFF, GIF, JPEG, BMP, DICOM, FITS and 'raw'. It supports 'stacks', a series of images that share a single window. It is multithreaded, so time-consuming operations such as image file reading can be performed in parallel with other operations.|It can calculate area and pixel value statistics of user-defined selections. It can measure distances and angles. It can create density histograms and line profile plots. It supports standard image processing functions such as contrast manipulation, sharpening, smoothing, edge detection and median filtering.|It does geometric transformations such as scaling, rotation and flips. Image can be zoomed up to 32:1 and down to 1:32. All analysis and processing functions are available at any magnification factor. The program supports any number of windows (images) simultaneously, limited only by available memory.|Spatial calibration is available to provide real world dimensional measurements in units such as millimeters. Density or gray scale calibration is also available.|ImageJ was designed with an open architecture that provides extensibility via Java plugins. Custom acquisition, analysis and processing plugins can be developed using ImageJ's built in editor and Java compiler. User-written plugins make it possible to solve almost any image processing or analysis problem.|ImageJ is being developed on Mac OS X using its built in editor and Java compiler, plus the BBEdit editor and the Ant build tool. The source code is freely available. The author, Wayne Rasband (wayne@codon.nih.gov), is at the Research Services Branch, National Institute of Mental Health, Bethesda, Maryland, USA."
XnView,,Gougelet Pierre,,,webmaster@xnview.com,http://www.xnview.com,,,1.61,05/22/2003,No,Freeware for non commercial use,Yes,,,,,,"HPUX, IRIX, Linux, MacOS, SunOS, UNIX, Windows",24 May 2003,"XnView is a multi-format graphics browser, viewer, and converter. It can read more than 400 file formats, e.g. gif, bmp, jpeg, png, targa, multipage tiff, mpeg, avi, quicktime, and many more. XnView has an Explorer like viewer that allows quick browsing of directory contents in both thumbnail and preview views. Its features include HTML page generation, contact sheets, twain support (scanner & digital cameras), batch conversion and image processing, full screen slide shows, image manipulation with effects like 'Tile' or 'Glass', screen capture and file operations."
VTK CISG Registration Toolkit,,"CISG Guy's Hospital London, King's College London",,Thomas Hartkens,thomas@hartkens.de,http://www.image-registration.com,,http://www.image-registration.com,2.0,15.09.2002,Yes,GPL,Yes,This software uses the Visualization Toolkit (VTK) by Kitware which is open source and can be downloaded for free. VTK needs to be installed on your system before you can use the VTK CISG Registration Toolkit,"Studholme C, Hill DLG, Hawkes DJ, 'Automated 3D registration of MR and CT images of the head.' Medical Image Analysis 1(2): 163-175 1996|Studholme C, Hill DLG, Hawkes DJ (1999) 'An overlap invariant entropy measure of 3D medical image alignment'. Pattern Recognition 32, 71-86.|J. West et al. 'Comparison and evaluation of retrospective intermodality brain image registration techniques', JCAT, vol. 21, No 4., pp 554-566, 1997|Rueckert D, Sonoda LI, Hayes C, Hill DLG, Leach MO, Hawkes DJ. 'Non-rigid Registration using Free-Form Deformations: Application to Breast MR Images' IEEE Transactions on Medical Imaging, Vol. 18, NO. 8: 712-721, August 1999|D.L.G. Hill, C.R. Maurer, C. Studholme, J.M. Fitzpatrick and D.J. Hawkes, 'Correcting scaling errors in tomographic images using a nine degree of freedom registration algorithm', JCAT, vol 22, pp 317-323, 1998|T. Hartkens, D. Rueckert, J.A. Schnabel, D.J. Hawkes, D.L.G. Hill, 'VTK CISG Registration Toolkit: An open source software package for affine and non-rigid registration of single- and multimodal 3D images.', http://www.bvm-workshop.org/BVM2002, Leipzig, Springer-Verlag, March 2002|D.L.G. Hill and C.R. Maurer and C. Studholme and J.M. Fitzpatrick and D.J. Hawkes, 'Correcting scaling errors in tomographic images using a nine degree of freedom registration algorithm', JCAT, No. 22, pp 317-323, 1998|T. Hartkens, D.L.G. Hill, A. D. Castellano-Smith, D.J. Hawkes, C.R. Maurer, Jr. , A. J. Martin, W.A. Hall, H. Liu, C.L. Truwit, 'Using points and surfaces to improve voxel-based non-rigid registration', submitted to MICCAI, 2002","Studholme C, Hill DLG, Hawkes DJ. 'Automated 3D registration of MR and PET brain images by multi-resolution optimisation of voxel similarity measures.' Medical Physics 24: 25-35 1997|Holden M, Hill DLG, Denton ERE, Jarosz JM, Cox TCS, Goody J, Rohlfing T, Hawkes DJ. Voxel similarity measures for 3D serial MR image registration IEEE trans Med. Imag. 19(2):94-102 2000|JA Schnabel et al., Validation of non-rigid registration using Finite Element Methods. Information Processing in Medical Imaging (IPMI'01), LNCS 2082:344-357, Springer Verlag, 2001|J.M. Blackall, D. Rueckert, C.R. Maurer, G.P. Penny, D.L.G. Hill, D.J. Hawkes, 'An Image Registration Approach to Automated Calibration for Freehand 3D Ultrasound', MICCAI2000, S.L. Delp et al. (Eds.), LNCS 1935:462-471, Springer-Verlag, 2000|Derek L.G. Hill and Calvin R. Maurer and Alastair J. Martin and Saras Sabanathan and Walter A. Hall and David J. Hawkes and Daniel Rueckert and Charles L. Truwit, 'Assessment of intraoperative brain deformation using interventional {MR} imaging', MICCAI'99, pp 910-919, Springer-Verlag, 1999|Calvin R. Maurer and Derek L.G. Hill and Alastair J. Martin and Haiying Liu and Michael McCue and Daniel Rueckert and David Lloret and Walter A. Hall and Robert E. Maxwell and David J. Hawkes and Charles L. Truwit, 'Investigation of Intraoperative Brain Deformation Using a 1.5 Tesla Interventional {MR} System: Preliminary Results ', IEEE Transaction on Medical Imaging , vol. 17, No.5, pp817-825, 1998|T. Hartkens, D.L.G. Hill, C.R. Maurer, A.J. Martin, W.A. Hall, D.J. Hawkes, D. Rueckert, H. Liu, C.L. Truwit, 'Quantifying the intraoperative brain deformation using interventional MR imaging' Proc. International Society for Magnetic Resonance in Medicine, Denver, 1.-7. p 51, April 2000|T. Hartkens, D.L.G. Hill, A. D. Castellano-Smith, D.J. Hawkes, C.R. Maurer, Jr., A. J. Martin, W.A. Hall, H. Liu, C.L. Truwit, 'Measurement and analysis of brain deformation during neurosurgery', submitted to IEEE Transactions on Medical Imaging (TMI), 2002",,"registration, visualization, volume, warping","Linux, SunOS, UNIX, Windows",24 May 2003,"This software package provides two voxel-based image registration algorithms that are based on maximising Normalised Mutual Information (NMI). They are incorporated in a user-friendly command-line and graphical interface that includes a visualisation tool for 3D image pairs to permit analysis of registration results. These algorithms have been demonstrated on range of medical applications including brain, breast, liver, and cardiac data and results have been published."
gpetview,,Gtk-base Analyze image viewer,,Hiroshi Watabe,watabe@ri.ncvc.go.jp,http://homepage2.nifty.com/peco/gpetview/gpetview.html,free,visit homepage and download source or binary,2.8,2005-07-14,Yes,GPL,Yes,Gtk1.2+ library(version 1.2 or later),,,,visualization,"HPUX, IRIX, Linux, MacOS, SunOS, UNIX, Windows",29 Jan 2006,"GpetView is light-weight image viewer based on Gtk+ library. The supported image format is ANALYZE(TM) format (Mayo Foundation ). GpetView can run on Unix-systems, such as Linux, Solaris, IRIX,MacOSX etc as well as Win32 system.|GpetView has the following features; * very light-weight * view images as transverse, coronal, or sagittal * change color-map (support Analyze lkup file) * zoom images * ROI (Region-Of-Interest) with shapes of circle, ellipse, rectangle, polygon and automatic edge detection * Image histogram and profile"
DICOMscope,,DICOM Viewer,,"OFFIS (Oldenburg, Germany), Institute for Microtherapy (Bochum, Germany), OTech, Inc. (Aubrey, TX, USA)",at,http://dicom.offis.de/dscope/,available,Download via web page or from ftp://dicom.offis.de/pub/dicom/offis/software/,3.6.0,07/2001,Yes,BSD-like open source license,Yes,Installation on Windows requires a Java Runtime (JRE 1.3 or newer) and Tcl/Tk version 8.3 or newer. Both software packages can be downloaded freely from the Internet. Compiling DICOMscope from source code requires a C++ compiler and Java JDK 1.3,"Marco Eichelberg, Joerg Riesmeier, Klaus Kleber, Joerg Holstein, Herman Oosterwijk, Peter Jensch: Consistency of Softcopy and Hardcopy: Preliminary Experiences with the new DICOM Extensions for Image Display in: PACS Design and Evaluation: Engineering and Clinical Issues, G. James Blaine, Eliot L.Siegel, Editors, Proceedings of SPIE Vol. 3980, pp. 57-67 (2000), ISSN 1605-7422, ISBN 0-8194-3597-X|Joerg Riesmeier, Marco Eichelberg, Klaus Kleber, Dietrich H. W. Groenemeyer, Herman Oosterwijk, Peter Jensch: DICOM image display consistency: a test environment in: Medical Imaging 2001: PACS and Integrated Medical Information Systems: Design and Evaluation, Eliot L. Siegel, H. K. Huang, Editors, Proceedings of SPIE Vol. 4323, pp. 47-56 (2001), ISBN 0-8194-4009-4",,,"DICOM, visualization","Linux, SunOS, UNIX, Windows",30 Jan 2006,"DICOMscope is a free DICOM viewer which can display uncompressed, monochrome DICOM images from all modalities and which supports monitor calibration according to DICOM part 14 as well as presentation states. DICOMscope offers a print client (DICOM Basic Grayscale Print Management) which also implements the optional Presentation LUT SOP Class. The development of this prototype was commissioned by the 'Committee for the Advancement of DICOM' and demonstrated at the European Congress of Radiology ECR 1999. An enhanced version was developed for the 'DICOM Display Consistency Demonstration' at RSNA InfoRAD 1999. Release 3.5.1 was demonstrated at ECR 2001 and contained numerous extensions, including a print server, support for encrypted DICOM communication, digital signatures and structured reporting. DICOMscope is not meant as a competition for commercial DICOM viewers. The application is rather a feasibility study for DICOM presentation states. Any use of the program in a clinical environment is not recommended."
LORETA,low resolution brain electromagnetic tomography,"The KEY Institute for Brain-Mind Research, University Hospital of Psychiatry, Zurich, Switzerland",,Roberto D. Pascual-Marqui,pascualm@key.unizh.ch,http://www.unizh.ch/keyinst/loreta,Free academic ethical brain ware,Follow links starting at http://www.unizh.ch/keyinst/loreta,2003-March,,No,,Yes,"Minimum: Windows 98 or higher, 1 GB free disk space, 256 MB RAM, 1024x768x(16BitsColor), 'Microsoft Internet Explorer' Version 4 or higher, graphics card and driver supporting OpenGL.","Pascual-Marqui RD, Michel CM, Lehmann D. Low resolution electromagnetic tomography: a new method for localizing electrical activity in the brain. International Journal of Psychophysiology. 1994, 18:49-65.|Pascual-Marqui RD. Review of methods for solving the EEG inverse problem. International Journal of Bioelectromagnetism 1999, 1: 75-86.|Pascual-Marqui RD. Standardized low resolution brain electromagnetic tomography (sLORETA): technical details. Methods & Findings in Experimental & Clinical Pharmacology 2002, 24D:5-12.| {Papers available at http://www.unizh.ch/keyinst/NewLORETA/SomePapers/SomePapers.htm}","The following papers are reviews of LORETA applications:|R.D. Pascual-Marqui, M. Esslen, K. Kochi, D. Lehmann. Functional imaging with low resolution brain electromagnetic tomography (LORETA): a review. Methods & Findings in Experimental & Clinical Pharmacology 2002, 24C:91-95.|Pascual-Marqui RD, Esslen M, Kochi K, Lehmann D: Functional imaging with low resolution brain electromagnetic tomography (LORETA): review, new comparisons, and new validation. Japanese Journal of Clinical Neurophysiology 30:81-94, 2002.| {Papers available at http://www.unizh.ch/keyinst/NewLORETA/SomePapers/SomePapers.htm}",,"functional, statistical, visualization",Windows,27 May 2003,"LORETA is a technique for functional imaging of the human brain. It computes the three dimensional distribution of electric neuronal activity (throughout cortical grey matter) from non-invasive measurements of scalp electric potential differences (EEG: electroencephalogram), with high time resolution in the millisecond range. The current software implementation is limited to EEG, although LORETA is defined for EEG and MEG (magnetoencephalogram)."
IrfanView,,by Irfan Skiljan,,Irfan Skiljan,irfan@linux.tuwien.ac.at,http://www.irfanview.com,,http://irfanview.tuwien.ac.at/iview380.exe,3.80,13-01-2003,No,Freeware,Yes,Win95 or later,,,,,Windows,02 Jun 2003,"IrfanView is a fast FREEWARE image viewer/converter for Win9x/NT, Windows 2000 and Windows XP. Supported file formats: AIF, ANI/CUR, ASF, AU/SND, AVI, B3D, BMP/DIB, CAM (Casio JPG), CLP, Dicom/ACR, DJVU, ECW, EMF/WMF, EPS, FlashPix (FPX), FSH, G3, GIF, ICO/ICL/EXE/DLL, IFF/LBM, IMG (GEM), JPG2000, JPG, KDC, LDF, LWF, MED, MID/RMI, MNG/JNG, MOV, MP3, MPG, MrSID, NLM/NOL/NGG, OGG, PBM/PGM/PPM, PCX/DCX, PhotoCD, PNG, PSD, PSP, RAS/SUN, RAW, Real Audio (RA), RLE, SFF, SFW, SGI/RGB, SWF (Flash/Shockwave), TGA, TIF, TTF, TXT, WAD, WAV, WBMP, WBZ/WBC, XBM, XPM, CRW, NEF, ORF, RAF, MRW, DCR etc. Microsoft Media Player PlugIn: allows IrfanView to read following formats: ASF, AU/SND/AIF, AVI, DAT (Video CD), MID/RMI, MOV, MP3, MPG/MPEG, WAV, WMA, WMV. Support for Apple QuickTime (PlugIn): allows IrfanView to read following formats: MOV, QTIF, Mac PICT, FLI/FLC. Some features of IrfanView: Multi language support, Thumbnail option, preview option, slideshow, drag & drop support, fast directory view (moving through directory), batch conversion, email option, audio CD player, print option, change color depth, scan support, cut/crop, IPTC edit, effects (sharpen, blur, Photoshop filter factory), capturing, extract icons from EXE/DLL/ICLs, lossless JPG rotation, EXE/SCR creating, many hotkeys, many command line options, many plugins ... IrfanView was the first Windows graphic viewer (worldwide) with Animated-GIF support FREEWARE for non commercial use"
AMIDE,,Amide's a Medical Image Data Examiner,,Andy Loening,loening@alum.mit.edu,http://amide.sourceforge.net,Free,http://amide.sourceforge.net,0.7.10,2003.05.29,Yes,GPL,Yes,"Linux/i386, Mac OS X, and Windows binaries are downloadable. Source code should compile on any unix platform provided the appropriate underlying libraries (mainly Gtk+/GNOME) are installed.","Loening AM, Gambhir SS, 'AMIDE: A completely free system for medical imaging data analysis', Journal of Nuclear Medicine, 42(5):192P, 2001",,,"visualization, volume","Linux, MacOS, Windows",02 Jun 2003,"AMIDE is a free and open source tool for viewing and analyzing both single and multimodality volumetric data sets. The program incorporates automatic non-orthogonal data reslicing, allowing multiple data sets to be fused without imposed constraints on the dimensions, anisotrophy, or voxel sizes of the data. Additional features include 3D ROI's (ellipses, cylinders, boxes, and isocontours), multi-slice viewing, volume rendering, and data importing through the (X)MedCon library (DICOM 3.0, ECAT 6.4/7.2, Acr/Nema 2.0, Analyze (SPM) InterFile 3.3, Concorde)."
Intramodal registration,,,,Philippe Thevenaz,philippe.thevenaz@epfl.ch,http://bigwww.epfl.ch/,,http://bigwww/thevenaz/registration/index.html,,"April 8, 2002",No,citationware,Yes,ANSI-C compiler + any external image-processing package to which C-libraries can be attached,"P. Thevenaz and M. Unser, 'A Pyramid Approach to Subpixel Registration Based on Intensity,' IEEE Transactions on Image Processing, vol. 7, no. 1, pp. 27-41, January 1998.|P. Thevenaz, U.E. Ruttimann and M. Unser, 'Iterative Multi-Scale Registration without Landmarks,' Proc. IEEE Int. Conf. on Image Processing, Washington, DC, USA, October 23-26, 1995, vol. III, pp. 228-231.|M. Unser, A. Aldroubi and C.R. Gerfen, 'A Multiresolution Image Registration Procedure Using Spline Pyramids,' Proc. SPIE, San Diego, CA, USA, July 15-16, 1993, vol. 2034, Mathematical Imaging: Wavelet Applications in Signal and Image Processing, pp. 160-170.",,,"intramodal, registration, spline, volume, warping","(Any), HPUX, IDL, IRIX, Linux, MacOS, MATLAB, SunOS, UNIX, Windows",24 Sep 2005,"Robust, high-quality registration of two volumes. They are aligned according to a least-squares criterion, which is well-suited to intramodal registration tasks. Several deformation models are available: 1) Translation (it is possible to specify along which axes); 2) Rotation (it is possible to specify around which axes); 3) Isometric scaling; 4) Any combination of 1-3; 5) Affine transformation (which can be restricted to some dimensions if desired; a typical restriction would happen when registering images instead of volumes); 6) Contrast adjustment (experimental, can be disengaged). Robustness is achieved by the use of a multiresolution approach. High-quality results from the use of cubic-spline interpolation. This tool is provided as a set of ANSI-C sources, which means it is NOT plug-and-play. Programmation skills are required to attach the ANSI-C routine to whichever system you happen to use. You'll be free to use this software for research purposes, but you should not redistribute it without our consent. In addition, we expect you to include a citation or acknowlegment whenever you present or publish results that are based on it."
Imread,,University of Colorado Health Sciences Center,,"David Rubinstein, Center for Human Simulation and the Neuroradiology Section of the Department of Radiology, University of Colorado Health Sciences Center",david.rubinstein@uchsc.edu,http://www.uchsc.edu/neuroimaging/download/imread/imread1.htm,Free,Download at http://www.uchsc.edu/neuroimaging/download/imread/imread1.htm,,,No,,Yes,PC with any version of Java. Will run with Jview or Sun's Java. MacOS 8 or 9. Not tested on OSX,,,,visualization,"MacOS, others not tested, Windows",24 Jun 2003,"The Imread DICOOM Processor is a Java application that opens grayscale (including lossless JPEG) DICOM images. The images can be rewindowed, resized, cropped or rotated and can be saved as 8 bit TIFF or JPEG files. The program can also paint out patient inforamtion on scanned images and can add limited annotation.|The Imread DICOOM Viewer is a Java application that displays grayscale and some color DICOM images. The images are initially displayed at a size that nearly fills the screen."
fMRIstat,,Montreal Neurological Institute,Yes,Keith Worsley,keith.worsley@mcgill.ca,www.math.mcgill.ca/keith/fmristat,free,Go to www.math.mcgill.ca/keith/fmristat,Jan 2006,Jan 2006,Yes,none,Yes,Matlab,"Worsley, K.J., Liao, C., Aston, J., Petre, V., Duncan, G.H., Morales, F., Evans, A.C. (2002). A general statistical analysis for fMRI data. NeuroImage, 15:1-15.|Liao, C., Worsley, K.J., Poline, J-B., Aston, J.A.D., Duncan, G.H., Evans, A.C. (2002). Estimating the delay of the fMRI response. NeuroImage, 16:593-606.|Worsley, K.J. & Taylor, J.E. (2005). Detecting fMRI activation allowing for unknown latency of the hemodynamic response. Neuroimage, in press.|Worsley, K.J. (2005). Spatial smoothing of autocorrelations to control the degrees of freedom in fMRI analysis. NeuroImage, 26:635-641.|Worsley, K.J. (2005). An improved theoretical P-value for SPMs based on discrete local maxima. NeuroImage, in press.","Worsley, K.J., Liao, C., Aston, J., Petre, V., Duncan, G.H., Morales, F., Evans, A.C. (2002). A general statistical analysis for fMRI data. NeuroImage, 15:1-15.|Liao, C., Worsley, K.J., Poline, J-B., Aston, J.A.D., Duncan, G.H., Evans, A.C. (2002). Estimating the delay of the fMRI response. NeuroImage, 16:593-606.|Worsley, K.J. & Taylor, J.E. (2005). Detecting fMRI activation allowing for unknown latency of the hemodynamic response. Neuroimage, in press.|Worsley, K.J. (2005). Spatial smoothing of autocorrelations to control the degrees of freedom in fMRI analysis. NeuroImage, 26:635-641.|Worsley, K.J. (2005). An improved theoretical P-value for SPMs based on discrete local maxima. NeuroImage, in press.",,"functional, statistical",MATLAB,22 Dec 2005,"FMRIstat implements a method for the statistical analysis for fMRI data that seeks a compromise between efficiency, generality, validity, simplicity and execution speed. The main differences between this analysis and previous ones are: a simple bias reduction and regularization for voxel-wise autoregressive model parameters; the combination of effects and their estimated standard deviations across different scans/sessions/subjects via a hierarchical random effects analysis using the EM algorithm; overcoming the problem of a small number of scans/session/subjects using a regularized variance ratio to increase the degrees of freedom. FMRIstat also implements a fast, efficient, general, simple, valid and robust method of estimating and making inference about the delay of the fMRI response modeled as a temporal shift of the hemodynamic response function (HRF). We estimate the shift unbiasedly using two optimally chosen basis functions for a spectrum of time shifted HRFs. This is done at every voxel, to create an image of estimated delays and their standard deviations. This can be used to compare delays for the same stimulus at different voxels, or for different stimuli at the same voxel."
LONI Pipeline Processing Environment,,"LONI (Laboratory of Neuro Imaging), UCLA",,Arthur Toga,apayan@loni.ucla.edu,http://www.loni.ucla.edu/NCRR/Software/Pipeline.html,everyone,download from http://www.loni.ucla.edu/NCRR/Software/Pipeline.html,1.0.3,"Nov 15, 2002",No,none for educational/research use,Yes,Java 1.3+ Desired neuroimaging apps installed separately (not included with the Pipeline Environment download),"Rex DE, Ma JQ, Toga AW. The LONI Pipeline Processing Environment. Neuroimage. 2003 Jul;19(3):1033-48.","Rex DE, Ma JQ, Toga AW. The LONI Pipeline Processing Environment. Neuroimage. 2003 Jul;19(3):1033-48.",,"atlas, BIRN, CCB (NCBC), functional, NA-MIC (NCBC), registration, segmentation, statistical, surface analysis, visual processing environment, volume, warping","HPUX, IRIX, Java 1.3+, Linux, MacOS, SunOS, UNIX, Windows",16 Sep 2003,"A visual analysis envrionment for neuroimaging. Modularizes command-line programs and allows client/server execution of analyses in a platform independent scheme. Analyses may be saved, re-run on new datasets, and easily modified to accomodate new concepts or small changes. Analyses and programs may be distributed via Pipeline Servers that are application and cycle serving environments."
WAIR,Wavelet Analysis of Image Registrattion,"LONI (Laboratory of Neuro Imaging), UCLA",,Ivo Dinov,Ivo.Dinov@loni.ucla.edu,http://www.loni.ucla.edu/~dinov/WAIR.html,freely available,,2.0,June 2002,Yes,free license,Yes,C/C++ compiler,"Dinov ID, Mega MS, Thompson PM, Woods RP, Sumners DWL, Sowell EL, Toga AW. ' Quantitative Comparison and Analysis of Image Registration Using Frequency-Adaptive Wavelet Shrinkage.', 6(1), 73-85, 2002 IEEE Trans. Information Technology in Biomedicine.|Dinov, ID and Sumners, DWL. Applications of Frequency Dependent Wavelet Shrinkage to Analyzing Quality of Image Registration, SIAM J. Appl. Math. (SIAP), 62(2), pp. 367-384. 2001. www.loni.ucla.edu/~dinov/WAIR.html",,,"atlas, C, C++, Fourier, HBP supported, registration quality, volume, warping, wavelets",Any platform with C/C++ compiler,09 Dec 2003,"A software for frequency-based analysis (wavelet & Fourier transforms N-dimensions) of data, classifying quality of image registration based on compressed wavelet-space distances and several other mathematical operations on neuroimaging data."
LOVE,LONI Visualization Environment,"LONI (Laboratory of Neuro Imaging), UCLA",,Ivo Dinov,Ivo Dinov,http://www.loni.ucla.edu/CCB/Software/Software_Detail.jsp?software_id=7,freely available,Internet downlaod,5.0,Sept. 2003,Yes,free,Yes,"Java Virtual Machine, Java 3D (freely available from java.sun.com)","Allan MacKenzie-Graham; Eagle S. Jones; David W. Shattuck; Ivo D. Dinov; Mihail Bota; Arthur W. Toga The Informatics of a C57BL/6J Mouse Brain Atlas, Neuroinformatics, Vol. 1, No. 4, October 2003.",,,"atlas, BIRN, CCB (NCBC), functional, HBP supported, NA-MIC (NCBC), registration, statistical, visualization",,09 Dec 2003,"Brain Imaging visuzalization tool (MINC and IMG 3D data, LWS/DXF surface models, GML BrainGraph models). Consists of a sectional viewer, 3D surface model display, BrainGraph ontology viewer, database accessor and BrainMapper syncronizing all displays"
Northern Eclipse 6.0,,,,Empix Imaging Inc,Kevin Coonan,www.empix.com,sales@empix.com,Email sales@empix.com,Version 6.0,"July 18, 2003",No,"Software License required, free upgrades",No,Pentium 4 or better based computer with Windows 2000 or Xp,,,,"microscopy, segmentation, visualization, warping","Linux, MacOS, Windows",10 Dec 2003,"Northern Eclipse 6.0 software is a Windows based full Image Analysis and Archiving System with a full suite of Image Processing techniques, Morphological and Densitometry measuring routines, digital and analogue camera control, SDK for custom camera driver solutions, 3D-Reconstruction, De-Convolution and programmable via 3 levels of automation plus access to hundreds of OLE applications and thousands of scripts."
MINC - N3,,An automated tool for correction of intensity nonuniformity in MRI data,,John G. Sled,minc-users@bic.mni.mcgill.ca,http://www.bic.mni.mcgill.ca/software/N3,source code,http://www.bic.mni.mcgill.ca/software/distribution,1.10,2005,Yes,see source code,Yes,From http://my.unidata.ucar.edu/content/software/netcdf NetCDF|From http://www.bic.mni.mcgill.ca/software/distribution MINC EBTKS mni_perllib,"J.G. Sled, A.P. Zijdenbos and A.C. Evans, 'A non-parametric method for automatic correction of intensity non-uniformity in MRI data', in 'IEEE Transactions on Medical Imaging', vol. 17, pp. 87--97, February 1998.|J.G. Sled, 'A Non-parametric Method for Automatic Correction of Intensity Non-uniformity in MRI Data', Master's Thesis, McGill University, Montreal, QC, May 1997 (available at http://www.bic.mni.mcgill.ca/~jgsled/thesis/),|J.G. Sled, A.P. Zijdenbos and A.C. Evans, 'A Comparison of Retrospective Intensity Non-uniformity Correction Methods for MRI', Information Processing in Medical Imaging, pp. 459-464, 1997",,FAQ for N3,"intensity nonuniformity, MRI artifact","cygwin on Windows, HPUX, IRIX, Linux, MacOS, SunOS, UNIX",23 Sep 2005,"An artifact often seen in MRI is for the signal intensity to vary smoothly across an image. Variously referred to as RF inhomogeneity, shading artifact, or intensity on-uniformity, it is usually attributed to such factors as poor radio frequency (RF) field uniformity, eddy currents driven by the switching of field gradients, and patient anatomy both inside and outside the field of view.|The perl script nu_correct implements a novel approach to correcting for intensity non-uniformity in MR data that achieves high performance without requiring supervision. By making relatively few assumptions about the data, the method can be applied at an early stage in an automated data analysis, before a tissue intensity or geometric model is available. Described as Non-parametric Non-uniform intensity Normalization (N3), the method is independent of pulse sequence and insensitive to pathological data that might otherwise violate model assumptions. To eliminate the dependence of the field estimate on anatomy, an iterative approach is employed to estimate both the multiplicative bias field and the distribution of the true tissue intensities. Preprocessing of MR data using N3 has been shown to substantially improve the accuracy of anatomical analysis techniques such as tissue classification and cortical surface extraction."
FilamentTracer,,Bitplane Inc,,Bitplane Inc,ussales@bitplane.com,http://www.bitplane.com/products/filamenttracer/filamenttracer_product.shtml,24 hours,www.bitplane.com,4.2,05/27/2005,No,,No,"Operating System: MS Windows XP, or MS Windows 2000 Recommended System 2 GB RAM 3 GHz CPU NVIDIA GeForce FX 5900 or better",,,,"arborization, microscopy, morphology, neuron tracing, segmentation, spine, statistical, visualization, volume",Windows,28 Sep 2005,"FilamentTracer is the leading software product for the automatic detection of filaments in 3D microscopic images. It automatically converts a volume image into a graph that retains the topological information of the filament and calculates essential information including the length and diameter of the segments, and the number of branch points. No other software offers the same powerful selection of tracing algorithms ranging from full control to full automation."
Imaris,,Bitplane Inc,,Bitplane Inc,ussales@bitplane.com,http://www.bitplane.com/products/imaris/imaris_product.shtml,,Contact: Michael C. Wussow,4.2,05/27/2005,No,,No,"Operating System: MS Windows XP, or MS Windows 2000 Recommended System 2 GB RAM 3 GHz CPU NVIDIA GeForce FX 5900 or better",,,,"animation, clipping, file format, microscopy, movie, point objects, segmentation, statistical, surface analysis, visualization, volume",Windows,28 Sep 2005,"Interactive Vision In The Life Sciences Combining speed, precision and ease-of-use, Imaris provides an impressive range of capabilities for working with three-dimensional images. Move easily between simple and advanced 3D views. Use flexible editing and processing functions, such as interactive surface rendering and object slicing capabilities. And output to standard TIFF, Quicktime and AVI formats. Imaris accepts virtually all image formats that are used in confocal microscopy and many of those used in wide-field image acquisition.|No other software gives you so much control at so many levels from advanced image processing and editing to volume image and surface rendering. With Imaris, you'll gain new insights from your microscopic data."
ImarisMeasurementPro,,Bitplane Inc,,Bitplane Inc,ussales@bitplane.com,http://www.bitplane.com/products/imarismeasurementpro/imarismeasurementpro_product.shtml,,Contact: Michael C. Wussow,4.2,05/27/05,No,,No,"Imaris Operating System: MS Windows XP, or MS Windows 2000 Recommended System 2 GB RAM 3 GHz CPU NVIDIA GeForce FX 5900",,,,"classification, contour segmentation, intensity integral, microscopy, position, segmentation, sphericity, statistical, surface analysis, visualization, volume",Windows,28 Sep 2005,"Quantifying Visual Information Imaris MeasurementPro adds geometric and intensity measurement capabilities to the volume rendering features of Imaris and the surface rendering and object slicing functionality of ImarisSurpass.|MeasurementPro allows users to sort/classify objects according to several criteria (volume, shape, intensity) and to either measure objects individually or to export a set of measurements for further analysis."
